PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
237872374,20048775,99,2020-10-25T23:02:00,"Banksville Rd Ramp & I-376 Ramp Pittsburgh, PA 15216",Y,Ridgemont,3,ARREST ON ATTACHMENT ORDER,9015 Failure To Appear/Arrest on Attachment Order,2904,,,0,0
237872738,20200002,15,2020-10-25T22:52:00,"Banksville Rd Ramp & I-376 Ramp Pittsburgh, PA 15216",Y,Ridgemont,6,PROHIBITED OFFENSIVE WEAPONS,908 Prohibited Offensive Weapons. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,2016,,,0,0
237874503,20200081,10,2020-10-26T01:31:00,"1900 Block Ley St Pittsburgh, PA 15212",N,Troy Hill,1,HARRASSMENT,2709(a) Harassment. / 3304 Criminal Mischief.,2406,1,1,-79.9817649951774,40.4660159126739
237894233,20200169,3,2020-10-26T07:50:00,"300 Block Forbes Ave Pittsburgh, PA 15222",Y,Central Business District,2,ROBBERY,3701 Robbery. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2701 Simple Assault. / 13(a)(32) Paraphernalia - Use or Possession,201,6,6,-80.0007602567799,40.4399534197384
237903219,20200263,11,2020-10-09T00:01:00,"1400 Block Sherman Ave Pittsburgh, PA 15212",N,Central North Side,1,THEFT BY DECEPTION,3922 Theft by Deception.,2503,6,1,-80.0102224063496,40.4572534219185
237907871,20200317,0,2020-10-25T12:50:00,"1600 Block Sedgwick St Pittsburgh, PA 15233",N,Manchester,1,99,8106 Shots Fired,2107,6,1,-80.0230399663579,40.4566366231162
236630535,20190010,0,2020-10-11T01:45:00,"1700 Block Arlington Ave Pittsburgh, PA 15210",N,South Side Slopes,3,99,"601.04(e)(1) Amplified Noise from a vehicle operated on a public street, alley, etc, at a distance of (75) feet / 670.02  (a) Disruptive activity prepetrataed/caused/permitted on property by owner(s)/tenant(s)/occupant(s)/invitee(s) of the property",1706,3,0,-79.9864357729389,40.4176189902752
236726648,20190783,24,2020-10-12T11:15:00,"1600 Block Crucible St Pittsburgh, PA 15220",N,Crafton Heights,6,FALSE ALARMS AGENCIES PUB SAF,4905 False Alarms to Agencies of Public Safety.,2814,2,5,-80.0517211557198,40.4474571296139
236804268,20190974,6,2020-10-12T15:22:00,"100 Block N Sheridan St Pittsburgh, PA 15206",N,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1115,9,2,-79.924107917319,40.4607563342413
236804713,20190975,27,2020-10-11T19:00:00,"300 Block Virginia Ave Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1903,2,5,-80.0105553172304,40.4311154236645
236806472,20191049,6,2020-10-11T21:54:00,"6300 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,"3921 Theft by Unlawful Taking or Disposition. / 3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 4106 Access Device Fraud",1115,,,0,0
236810196,20191089,11,2020-10-12T12:29:00,"40 Block Alexis St Pittsburgh, PA 15207",N,Greenfield,4,THEFT BY DECEPTION,4912 Impersonating a Public Servant. / 3922 Theft by Deception.,1516,5,3,-79.9486741952507,40.4263710646262
236812190,20191129,99,2020-10-12T21:23:00,"800 Block Crucible St Pittsburgh, PA 15220",N,Elliott,6,AIDED CASE,9497 Aided Case,2020,2,5,-80.0398303428833,40.44195966402
236812491,20191087,10,2020-10-12T20:35:00,"2700 Block Berg St Pittsburgh, PA 15203",Y,South Side Slopes,3,SIMPLE ASSAULT,2701 Simple Assault.,1608,3,3,-79.970969120639,40.4193926345965
238045939,20201223,27,2020-10-27T17:10:00,"400 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1115,9,2,-79.9221749446935,40.4651657848127
-3355026133,20201571,0,2020-10-28T08:31:00,"2500 Block MERWYN Ave Pittsburgh, PA 15204",N,Sheraden,6,99,9999 9999 - (Misc. Incident): Shot Spotter,2018,,,0,0
238108285,20201628,18,2020-10-28T09:32:00,"Frankstown Ave & N Homewood Ave Pittsburgh, PA 15208",Y,Homewood North,5,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,1302,9,2,-79.8963011488784,40.457404655664
238127367,20201712,10,2020-10-28T12:43:00,"2800 Block Stayton St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2715,1,1,-80.0274077425452,40.4703705775023
238139453,20201769,99,2020-10-28T13:47:00,"3100 Block Landis St Pittsburgh, PA 15204",N,Sheraden,6,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),2018,2,5,-80.0556002598474,40.4564815637975
236620681,20190305,24,2020-10-11T14:43:00,"Hamilton Ave & N Braddock Ave Pittsburgh, PA 15208",N,Homewood South,5,DISORDERLY CONDUCT,5503 Disorderly Conduct. / 2707 Propulsion of Missiles ,1303,9,2,-79.8911118301932,40.4531728383208
236621503,20190334,14,2020-10-11T15:10:00,"1800 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,CRIM MISCHIEF,3304 Criminal Mischief.,203,7,6,-79.9854046177452,40.4509619871853
236621888,20190362,0,2020-10-11T17:10:00,"700 Block Melbourne St Pittsburgh, PA 15217",N,Greenfield,4,99,9999 9999 - (Misc. Incident): Welfare Check,1517,5,3,-79.9337641378384,40.4218034190833
236624052,20190459,0,2020-10-11T19:00:00,"Chateau St Pittsburgh, PA 15233",N,Chateau,1,99,9999 9999 - (Misc. Incident): ,2108,,,0,0
236624398,20190447,6,2020-10-10T21:35:00,"Crucible  St & Calcutta Way Pittsburgh, PA 15204",N,Elliott,6,THEFT FROM AUTO,"3934 Theft from Vehicle / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",2020,,,0,0
236625394,20190483,27,2020-10-11T21:26:00,"Saw Mill Run Blvd & Library Rd Pittsburgh, PA 15227",N,Overbrook,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,3204,4,5,-79.9959750614578,40.3824894539496
236648076,20189694,6,2020-10-10T16:12:00,"300 Block Crane Ave Pittsburgh, PA 15216",N,Beechview,6,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,1916,,,0,0
236648190,20190673,5,2020-10-12T05:00:00,"400 Block Edgemont St Pittsburgh, PA 15211",N,Mount Washington,3,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1807,3,5,-80.0005935867897,40.4222565926704
236697563,20190775,14,2020-10-12T00:00:00,"5700 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar) / 9130 Graffiti Investigation / 620.03 (a) Graffiti - Prohibited Acts: No person may apply graffiti on city owned property or w/o permission of non-city own property",705,8,2,-79.9334617427204,40.4570157923201
236738460,20188175,11,2020-10-08T06:00:00,"Cedar Ave & Lockhart St Pittsburgh, PA 15212",Y,Allegheny Center,1,CREDIT CARDS,4106 Access Device Fraud / 4120 Identity Theft / 3925 Receiving Stolen Property. / 903 Criminal Conspiracy.,2204,1,1,-80.0013231503237,40.4521570639038
238206143,20202166,18,2020-10-29T08:00:00,"2900 Block Sacramento Ave Pittsburgh, PA 15204",Y,Sheraden,6,STOLEN PROPERTY - OTHER,13(a)(31) Marijuana: Possession Small Amount / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance,2018,2,5,-80.0490449274855,40.4564018693418
238221633,20202385,0,2020-10-29T13:45:00,"50 Block Carrick Ave Pittsburgh, PA 15210",N,Carrick,3,99,9093 Indirect Criminal Contempt,2904,4,3,-79.9823790579746,40.388760860011
-3352001907,20202572,26,2020-10-29T21:01:00,"1400 Block N St Clair St Pittsburgh, PA 15206",N,Highland Park,5,CRIMINAL TRESPASS,3503 Criminal Trespass,1102,7,2,-79.9198453751759,40.477588564596
238245592,20202485,29,2020-10-29T18:23:00,"7300 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,LOCATED RUNAWAY - OUTSIDE CITY,0291 Located Runaway - Outside City,1303,9,2,-79.8948371053259,40.455034841235
-3296008647,20202438,0,2020-10-29T16:30:00,"4600 Block Browns Hill Rd Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): Dispute,1414,,,0,0
238301606,20202928,10,2020-10-30T12:17:00,"5400 Block Clarendon Pl Pittsburgh, PA 15206",Y,Friendship,5,SIMPLE ASSAULT,2701 Simple Assault.,807,9,2,-79.9349069541192,40.4639693034105
-3314032075,20202920,27,2020-10-30T12:06:00,"100 Block S 19th St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9794544619025,40.4281368118648
237229774,20194566,99,2020-10-17T19:22:00,"1200 Block Tweed St Pittsburgh, PA 15204",N,Sheraden,6,MENTAL 201/302,9498 302 (Mental),2022,2,5,-80.0642529480014,40.4554594061618
237230306,20194626,23,2020-10-17T22:00:00,"6th Ave & Liberty Ave Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,201,6,6,-80.0002309446644,40.442341198819
237234395,20194565,27,2020-10-17T19:14:00,"Forbes Ave & Beeler St Pittsburgh, PA 15213",Y,Squirrel Hill North,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3736 Reckless Driving / 3361  Driving Vehicle at Safe Speed.,1401,8,3,-79.9387990818981,40.4438896989027
237244876,20194936,29,2020-10-18T11:20:00,"600 Block Chautauqua St Pittsburgh, PA 15214",N,Perry South,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2614,6,1,-80.0166232644558,40.4644447073508
237248851,20195059,26,2020-10-18T15:12:00,"3000 Block Shadeland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,2715,1,1,-80.0307312461892,40.4716454817806
237249469,20195084,10,2020-10-18T14:40:00,"400 Block S Main St Pittsburgh, PA 15220",Y,West End,6,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2019,2,5,-80.0330943644795,40.4416856571646
237250018,20195112,18,2020-10-18T16:50:00,"3800 Block Brighton Rd Pittsburgh, PA 15212",Y,Brighton Heights,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 9501 Bench Warrant,2701,1,1,-80.0356961105039,40.484558043147
237264024,20195314,26,2020-10-18T23:45:00,"Frankstown Ave & Putnam St Pittsburgh, PA 15206",N,Larimer,5,INF OFF/POLT MATT,4702 Requirement for Periodic Inspection of Vehicles / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3714 Careless Driving,1208,9,2,-79.9123809393205,40.4599551157416
237277687,20193258,99,2020-10-10T08:00:00,"2300 Block Groveland St Pittsburgh, PA 15234",N,Overbrook,3,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,3207,,,0,0
238350738,20203707,10,2020-10-31T14:33:00,"7000 Block Kedron St Pittsburgh, PA 15208",N,Homewood North,5,TERRORISTIC THREATS,2706 Terroristic Threats.,1301,9,2,-79.8996769710782,40.461798849195
238357600,20166776,99,2020-10-31T17:15:00,"800 Block Pennsylvania Ave Pittsburgh, PA 15212",Y,California-Kirkbride,1,ARREST ON ATTACHMENT ORDER,9015 Failure To Appear/Arrest on Attachment Order,2206,6,1,-80.0153885611041,40.4561055557159
238357922,20180977,99,2020-10-31T17:05:00,"80 Block Pennsylvania Ave Pittsburgh, PA 15212",Y,East Allegheny,1,ARREST ON ATTACHMENT ORDER,9015 Failure To Appear/Arrest on Attachment Order,2304,6,1,-80.017299753762,40.4562476619966
236542050,20189042,99,2020-10-09T16:12:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,AIDED CASE,9497 Aided Case,2108,6,1,-80.0219684615574,40.4512177173984
236546567,20189072,18,2020-10-09T18:30:00,"900 Block Washington Blvd Pittsburgh, PA 15206",N,Homewood West,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9124 Drug Investigation / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1511 Carrying and Exhibiting Driver's License on Demand. / 3334 Turning Movements and Required Signals.,1207,9,2,-79.9071294954201,40.4599082540767
236548885,20188956,6,2020-10-09T13:11:00,"400 Block N Highland Ave Pittsburgh, PA 15206",Y,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 903 Criminal Conspiracy.,1115,9,2,-79.9221749446935,40.4651657848127
236549298,20189195,0,2020-10-09T21:10:00,"600 Block N St Clair St Pittsburgh, PA 15206",N,East Liberty,5,99,9999 9999 - (Misc. Incident): ,1113,9,2,-79.9251036514677,40.4680459929309
-3298052582,20189574,0,2020-10-10T11:29:00,"5th Ave & S Aiken Ave Pittsburgh, PA 15232",N,Shadyside,4,99,459.502(a) Dog Bites,703,8,3,-79.9342085195592,40.4484076429194
236567401,20189610,0,2020-10-10T12:48:00,"1700 Block Cliff St Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9999 9999 - (Misc. Incident): Possible Domestic,305,6,3,-79.9865941091485,40.4455491999267
236580536,20189696,99,2020-10-10T16:21:00,"1600 Block Westmont Ave Pittsburgh, PA 15210",N,Carrick,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2901,4,3,-79.9905918876146,40.3997765091049
236584558,20189796,10,2020-10-10T18:55:00,"600 Block Kirkpatrick St Pittsburgh, PA 15219",Y,Middle Hill,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",501,,,0,0
236591996,20189977,10,2020-10-11T00:45:00,"200 Block Allen St Pittsburgh, PA 15210",N,Allentown,3,SIMPLE ASSAULT,2701 Simple Assault. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3304 Criminal Mischief.,1803,3,5,-79.9937067300477,40.4207940232138
236592227,20189952,99,2020-10-10T23:50:00,"300 Block 3rd Ave Pittsburgh, PA 15222",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,6,6,-80.0016135598372,40.4388661313797
236593119,20189998,0,2020-10-11T01:06:00,"100 Block 7th St Pittsburgh, PA 15222",N,Central Business District,2,99,8106 Shots Fired,201,6,6,-80.000996797488,40.4441447479242
237913851,20200328,0,2020-10-22T15:30:00,"5800 Block Forward Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1408,5,3,-79.9234521282942,40.429752528351
237915881,20200331,0,2020-10-26T12:30:00,"3200 Block Bainton St Pittsburgh, PA 15212",N,Brighton Heights,1,99,9999 9999 - (Misc. Incident): ,2703,,,0,0
237776911,20196942,99,2020-10-16T16:22:00,"100 Block W Cherryhill St Pittsburgh, PA 15210",N,Carrick,3,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,2901,4,3,-79.9880322512686,40.398513597332
237927529,20200359,0,2020-10-23T00:01:00,"Brownsville Rd & Owendale Ave Pittsburgh, PA 15227",N,Carrick,3,99,9999 9999 - (Misc. Incident): ,2904,,,-79.9761455897474,40.3813095394874
237935853,20200345,0,2020-10-24T23:45:00,"100 Block Liberty Brg & P J McArdle Rdwy Pittsburgh, PA 15210",N,South Side Slopes,3,99,9999 9999 - (Misc. Incident): ,1706,,,0,0
237941079,20200381,27,2020-10-26T12:00:00,"1400 Block Chicago St Pittsburgh, PA 15214",N,Northview Heights,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2609,,,0,0
237946284,20200421,0,2020-10-26T14:30:00,"Parkwood Rd & Eisel St Pittsburgh, PA 15210",N,Arlington,3,99,"601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",1603,3,3,-79.9680398793078,40.4118672705294
237947818,20200422,6,2020-10-26T08:00:00,"2600 Block Tunnel Blvd Pittsburgh, PA 15210",Y,Bluff,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1603,,,0,0
237951284,20200496,6,2020-10-26T15:49:00,"200 Block Lytton Ave Pittsburgh, PA 15213",N,North Oakland,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,403,8,3,-79.9557412327727,40.4468612176592
237957072,20200554,18,2020-10-26T18:44:00,"East Gate Dr & Robinson Blvd Pittsburgh, PA 15221",Y,East Hills,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3323 Stop Signs and Yield Signs. / 3334 Turning Movements and Required Signals.,1306,,,0,0
237957903,20200626,10,2020-10-20T20:00:00,"700 Block Rudolph St Pittsburgh, PA 15220",N,Elliott,6,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person.,2020,2,5,-80.0399941673616,40.4459096981215
236818391,20191234,6,2020-10-13T02:12:00,"1200 Block Oakglen St Pittsburgh, PA 15204",N,Crafton Heights,6,THEFT FROM AUTO,3934 Theft from Vehicle,2814,2,5,-80.057140112305,40.4508974719062
236820595,20191247,23,2020-10-13T02:45:00,"1700 Block Arlington Ave Pittsburgh, PA 15210",Y,South Side Slopes,3,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503 Disorderly Conduct.,1706,3,0,-79.9864357729389,40.4176189902752
236821674,20191275,10,2020-10-13T04:02:00,"1500 Block Sedgwick St Pittsburgh, PA 15233",Y,Manchester,1,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2107,6,1,-80.0227687098241,40.4557226819613
236847755,20191331,14,2020-10-12T18:55:00,"Schenley Dr & Frew St Pittsburgh, PA 15213",N,Squirrel Hill South,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1413,5,3,-79.9481885277887,40.4408070584254
-3394161309,20190814,0,2020-10-11T13:00:00,"100 Block Courtland St Pittsburgh, PA 15207",N,Hazelwood,4,99,"5533(a) Cruelty to animals - Intentionally, knowingly or recklessly illtreats, overloads, beats, abandons or abuses an animal",1501,5,3,-79.9464899608061,40.4051074260395
236878435,20191419,0,2020-10-13T10:44:00,"900 Block Lorenz Ave Pittsburgh, PA 15220",Y,Elliott,6,99,8106 Shots Fired,2020,2,5,-80.0417508570939,40.4432452973125
238145380,20201799,27,2020-10-28T15:00:00,"10 Block Bascom St Pittsburgh, PA 15214",N,Perry North,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2602,1,1,-80.0254415021557,40.4946493199474
-3288001071,20201866,0,2020-10-28T17:19:00,"Collier St & Race St Pittsburgh, PA 15208",Y,Homewood North,5,99,9999 9999 - (Misc. Incident):  / 13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3742.1 Accident Involv. Death/Inj. While not Licensed / 1501 Drivers Required to be Licensed. / 3323 Stop Signs and Yield Signs. / 3714 Careless Driving,1302,9,2,-79.8913369014292,40.4578564265558
238151075,20201887,18,2020-10-28T18:11:00,"3000 Block Pioneer Ave Pittsburgh, PA 15226",Y,Brookline,6,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 5505 Public Drunkenness / 4914 False Identification to Law Enforcement Authorities,1919,4,5,-80.0285329382489,40.3945520191713
238156036,20191172,5,2020-10-13T00:19:00,"800 Block Woodlow St Pittsburgh, PA 15205",Y,Crafton Heights,6,BURGLARY,"3502 Burglary. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3503 Criminal Trespass / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck / 2701(a)(2) Simple Asslt - Neg. Cause Bod. Harm Deadly Weap.",2814,2,5,-80.0511643268968,40.4469481871268
238161188,20202024,10,2020-10-28T23:35:00,"5000 Block Columbo St Pittsburgh, PA 15221",Y,Homewood North,5,SIMPLE ASSAULT,2701 Simple Assault.,1301,,,0,0
238162423,20200383,99,2020-10-26T14:17:00,"1400 Block Locust St Pittsburgh, PA 15219",Y,Bluff,2,ACCIDENTAL FIRE,9018 Accidental Fire,103,6,3,-79.9854587006851,40.4360439740714
238170238,20202130,6,2020-10-29T03:05:00,"3200 Block Universal St Pittsburgh, PA 15204",N,Sheraden,6,THEFT FROM AUTO,3934 Theft from Vehicle,2022,2,5,-80.0619034791944,40.4551963285176
236806913,20190902,27,2020-10-12T14:56:00,"100 Block Crestline Pl Pittsburgh, PA 15221",N,East Hills,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3736 Reckless Driving,1306,9,2,-79.8761828588642,40.4515885312782
236816074,20191194,0,2020-10-13T02:21:00,"1700 Block Arlington Ave Pittsburgh, PA 15210",Y,South Side Slopes,3,99,5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,1706,3,0,-79.9864357729389,40.4176189902752
236817091,20191172,5,2020-10-13T00:19:00,"800 Block Woodlow St Pittsburgh, PA 15205",Y,Crafton Heights,6,BURGLARY,"3502 Burglary. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3503 Criminal Trespass / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck / 2701(a)(2) Simple Asslt - Neg. Cause Bod. Harm Deadly Weap.",2814,2,5,-80.0511643268968,40.4469481871268
236821953,20191229,0,2020-10-13T03:40:00,"Bennett St & Oakwood St Pittsburgh, PA 15221",N,Homewood South,5,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 3354 Additional Parking Regulations. / 1514 Expiration and Renewal of Drivers' Licenses. / 3361  Driving Vehicle at Safe Speed.,1304,9,2,-79.8856522299568,40.4540344303134
236826374,20191325,27,2020-10-13T06:46:00,"Hamilton Ave & 5th Ave Pittsburgh, PA 15208",N,Homewood West,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1207,9,2,-79.9090629890633,40.4572898625103
236833312,20191349,27,2020-10-13T08:10:00,"Boggs Ave Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1915,4,5,-80.0120794591086,40.4156759007942
236835073,20191363,27,2020-10-11T09:00:00,"E Sycamore St Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1914,2,5,-80.0071938132938,40.4306684620818
236843126,20191392,11,2020-10-13T09:00:00,"600 Block Pressley St Pittsburgh, PA 15212",N,East Allegheny,1,THEFT BY DECEPTION,4106 Access Device Fraud / 3922 Theft by Deception.,2304,1,1,-79.9986796721415,40.4522188227154
236845538,20191397,11,2020-10-13T08:00:00,"1800 Block Davis Ave Pittsburgh, PA 15212",N,Brighton Heights,1,IDENTITY THEFT,4120 Identity Theft,2701,1,1,-80.0418455015798,40.4798991313976
236852906,20191416,27,2020-10-13T09:10:00,"200 Block Oak Hill Dr Pittsburgh, PA 15213",N,Terrace Village,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,510,,,0,0
236871095,20191434,6,2020-10-13T11:00:00,"500 Block Lockhart St Pittsburgh, PA 15212",N,East Allegheny,1,THEFT FROM AUTO,3934 Theft from Vehicle,2304,1,1,-80.0001221005999,40.4526808938104
236888516,20191456,6,2020-10-13T11:33:00,"7000 Block Wiltsie St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1201,9,2,-79.8966600424423,40.4725465108224
238346899,20200950,26,2020-10-31T10:10:00,"300 Block Boulevard of the Allies Pittsburgh, PA 15222",Y,Central Business District,2,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,201,6,6,-80.0018566639174,40.4380991224729
238346936,20200948,26,2020-10-31T11:00:00,"7300 Block Idlewild St Pittsburgh, PA 15208",Y,Homewood North,5,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,1302,9,2,-79.8937841049223,40.4575042265969
238346946,20201007,0,2020-10-31T13:18:00,Zone 3,N,,3,99,9999 9999 - (Misc. Incident): Sexually Violent Predator (Community Notification),,,,,
238348098,20203643,0,2020-10-16T12:00:00,"6200 Block Kalida Dr Pittsburgh, PA 15206",N,East Liberty,5,99,9999 9999 - (Misc. Incident): ,1115,9,2,-79.9204385190747,40.4641006547418
237282178,20195512,6,2020-10-19T08:30:00,"3000 Block Marshall  Rd Pittsburgh, PA 15214",N,Perry North,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2602,1,1,-80.014950838723,40.4760673983119
-3253034242,20195654,10,2020-10-19T12:43:00,"300 Block Michigan St Pittsburgh, PA 15210",Y,Beltzhoover,3,HARRASSMENT,2709 Harassment (Non-Specific),1809,4,5,-80.0022853158132,40.4158732483766
237313523,20195010,18,2020-10-18T13:29:00,"N Lang Ave & Fielding Way Pittsburgh, PA 15208",N,Homewood North,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9124 Drug Investigation / 3334 Turning Movements and Required Signals.,1301,9,2,-79.8980945391003,40.4590304912845
237325032,20192792,18,2020-10-15T11:00:00,"3400 Block Spring Garden Ave Pittsburgh, PA 15214",Y,Northview Heights,1,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 4303 General Lighting Requirements. / 3334 Turning Movements and Required Signals.,2609,,,0,0
237191665,20193832,0,2020-10-16T18:00:00,"5400 Block Black St Pittsburgh, PA 15206",N,East Liberty,5,99,9999 9999 - (Misc. Incident): ,1113,9,2,-79.9327961115136,40.4704359513086
238349575,20203700,3,2020-10-31T14:12:00,"6th St & Fort Duquesne Blvd Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY,3701 Robbery. / 2701 Simple Assault.,201,6,6,-80.0027644841299,40.4440702599106
238349838,20203680,0,2020-10-30T17:15:00,"North Shore River walk  Dr Pittsburgh, PA 15212",N,North Shore,1,99,9999 9999 - (Misc. Incident): ,2205,,,0,0
